frame = 21107	 simulation time = 422.120	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21108	 simulation time = 422.140	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21109	 simulation time = 422.160	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21110	 simulation time = 422.180	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21111	 simulation time = 422.200	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21112	 simulation time = 422.220	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21113	 simulation time = 422.240	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21114	 simulation time = 422.260	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21115	 simulation time = 422.280	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21116	 simulation time = 422.300	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21117	 simulation time = 422.320	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21118	 simulation time = 422.340	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21119	 simulation time = 422.360	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21120	 simulation time = 422.380	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21121	 simulation time = 422.400	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21122	 simulation time = 422.420	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21123	 simulation time = 422.440	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21124	 simulation time = 422.460	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
