frame = 21638	 simulation time = 432.74	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21639	 simulation time = 432.76	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21640	 simulation time = 432.78	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21641	 simulation time = 432.80	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21642	 simulation time = 432.82	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21643	 simulation time = 432.84	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21644	 simulation time = 432.86	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21645	 simulation time = 432.88	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21646	 simulation time = 432.90	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21647	 simulation time = 432.92	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21648	 simulation time = 432.94	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21649	 simulation time = 432.96	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21650	 simulation time = 432.98	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21651	 simulation time = 433.00	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21652	 simulation time = 433.02	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21653	 simulation time = 433.04	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21654	 simulation time = 433.06	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21655	 simulation time = 433.08	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21656	 simulation time = 433.10	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21657	 simulation time = 433.12	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21658	 simulation time = 433.14	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21659	 simulation time = 433.16	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21660	 simulation time = 433.18	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21661	 simulation time = 433.20	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21662	 simulation time = 433.22	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
frame = 21663	 simulation time = 433.24	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 66red
