frame = 14333	 simulation time = 286.64	 ego_vehicle speed = 14.062	 ego_vehicle location = 113.5809221631	 next light status = 70red
frame = 14334	 simulation time = 286.66	 ego_vehicle speed = 13.904	 ego_vehicle location = 113.8590021631	 next light status = 70red
frame = 14335	 simulation time = 286.68	 ego_vehicle speed = 13.746	 ego_vehicle location = 114.1339221631	 next light status = 70red
frame = 14336	 simulation time = 286.70	 ego_vehicle speed = 13.588	 ego_vehicle location = 114.4056821631	 next light status = 70red
frame = 14337	 simulation time = 286.72	 ego_vehicle speed = 13.430	 ego_vehicle location = 114.6742821631	 next light status = 70red
frame = 14338	 simulation time = 286.74	 ego_vehicle speed = 13.272	 ego_vehicle location = 114.9397221631	 next light status = 70red
frame = 14339	 simulation time = 286.76	 ego_vehicle speed = 13.114	 ego_vehicle location = 115.2020021631	 next light status = 70red
frame = 14340	 simulation time = 286.78	 ego_vehicle speed = 12.956	 ego_vehicle location = 115.4611221631	 next light status = 70red
frame = 14341	 simulation time = 286.80	 ego_vehicle speed = 12.798	 ego_vehicle location = 115.7170821631	 next light status = 70red
frame = 14342	 simulation time = 286.82	 ego_vehicle speed = 12.640	 ego_vehicle location = 115.9698821631	 next light status = 70red
frame = 14343	 simulation time = 286.84	 ego_vehicle speed = 12.482	 ego_vehicle location = 116.2195221631	 next light status = 70red
frame = 14344	 simulation time = 286.86	 ego_vehicle speed = 12.324	 ego_vehicle location = 116.4660021631	 next light status = 70red
frame = 14345	 simulation time = 286.88	 ego_vehicle speed = 12.166	 ego_vehicle location = 116.7093221631	 next light status = 70red
frame = 14346	 simulation time = 286.90	 ego_vehicle speed = 12.008	 ego_vehicle location = 116.9494821631	 next light status = 69red
frame = 14347	 simulation time = 286.92	 ego_vehicle speed = 11.850	 ego_vehicle location = 117.1864821631	 next light status = 69red
frame = 14348	 simulation time = 286.94	 ego_vehicle speed = 11.692	 ego_vehicle location = 117.4203221631	 next light status = 69red
frame = 14349	 simulation time = 286.96	 ego_vehicle speed = 11.534	 ego_vehicle location = 117.6510021631	 next light status = 69red
frame = 14350	 simulation time = 286.98	 ego_vehicle speed = 11.376	 ego_vehicle location = 117.8785221631	 next light status = 69red
frame = 14351	 simulation time = 287.00	 ego_vehicle speed = 11.218	 ego_vehicle location = 118.1028821631	 next light status = 69red
frame = 14352	 simulation time = 287.02	 ego_vehicle speed = 11.060	 ego_vehicle location = 118.3240821631	 next light status = 69red
frame = 14353	 simulation time = 287.04	 ego_vehicle speed = 10.902	 ego_vehicle location = 118.5421221631	 next light status = 69red
frame = 14354	 simulation time = 287.06	 ego_vehicle speed = 10.744	 ego_vehicle location = 118.7570021631	 next light status = 69red
frame = 14355	 simulation time = 287.08	 ego_vehicle speed = 10.586	 ego_vehicle location = 118.9687221631	 next light status = 69red
frame = 14356	 simulation time = 287.10	 ego_vehicle speed = 10.428	 ego_vehicle location = 119.1772821631	 next light status = 69red
frame = 14357	 simulation time = 287.12	 ego_vehicle speed = 10.270	 ego_vehicle location = 119.3826821631	 next light status = 69red
frame = 14358	 simulation time = 287.14	 ego_vehicle speed = 10.112	 ego_vehicle location = 119.5849221631	 next light status = 69red
frame = 14359	 simulation time = 287.16	 ego_vehicle speed = 9.9540	 ego_vehicle location = 119.7840021631	 next light status = 69red
frame = 14360	 simulation time = 287.18	 ego_vehicle speed = 9.7960	 ego_vehicle location = 119.9799221631	 next light status = 69red
frame = 14361	 simulation time = 287.20	 ego_vehicle speed = 9.6380	 ego_vehicle location = 120.1726821631	 next light status = 69red
frame = 14362	 simulation time = 287.22	 ego_vehicle speed = 9.4800	 ego_vehicle location = 120.3622821631	 next light status = 69red
frame = 14363	 simulation time = 287.24	 ego_vehicle speed = 9.3220	 ego_vehicle location = 120.5487221631	 next light status = 69red
frame = 14364	 simulation time = 287.26	 ego_vehicle speed = 9.1640	 ego_vehicle location = 120.7320021631	 next light status = 69red
frame = 14365	 simulation time = 287.28	 ego_vehicle speed = 9.0060	 ego_vehicle location = 120.9121221631	 next light status = 69red
frame = 14366	 simulation time = 287.30	 ego_vehicle speed = 8.8480	 ego_vehicle location = 121.0890821631	 next light status = 69red
frame = 14367	 simulation time = 287.32	 ego_vehicle speed = 8.6900	 ego_vehicle location = 121.2628821631	 next light status = 69red
frame = 14368	 simulation time = 287.34	 ego_vehicle speed = 8.5320	 ego_vehicle location = 121.4335221631	 next light status = 69red
frame = 14369	 simulation time = 287.36	 ego_vehicle speed = 8.3740	 ego_vehicle location = 121.6010021631	 next light status = 69red
