guo le ting zhi xian cai ting che, yin wei hong lv deng qu zheng shu

real world time stamp: 2023-06-26 14:25:02.985264	frame = 23886	 simulation time = 477.700	 ego_vehicle speed = 1.81470	 ego_vehicle location = 5093.261275999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.985407	frame = 23887	 simulation time = 477.720	 ego_vehicle speed = 1.65670	 ego_vehicle location = 5093.294409999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.985552	frame = 23888	 simulation time = 477.740	 ego_vehicle speed = 1.49870	 ego_vehicle location = 5093.324383999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.985701	frame = 23889	 simulation time = 477.760	 ego_vehicle speed = 1.34070	 ego_vehicle location = 5093.351197999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.985848	frame = 23890	 simulation time = 477.780	 ego_vehicle speed = 1.18270	 ego_vehicle location = 5093.374851999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.985994	frame = 23891	 simulation time = 477.800	 ego_vehicle speed = 1.02470	 ego_vehicle location = 5093.395345999	 next light status = 1yellow
real world time stamp: 2023-06-26 14:25:02.986140	frame = 23892	 simulation time = 477.820	 ego_vehicle speed = 0.86670	 ego_vehicle location = 5093.412679999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.986286	frame = 23893	 simulation time = 477.840	 ego_vehicle speed = 0.70870	 ego_vehicle location = 5093.426853999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.986432	frame = 23894	 simulation time = 477.860	 ego_vehicle speed = 0.55070	 ego_vehicle location = 5093.437867999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.986577	frame = 23895	 simulation time = 477.880	 ego_vehicle speed = 0.39270	 ego_vehicle location = 5093.445721999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.986722	frame = 23896	 simulation time = 477.900	 ego_vehicle speed = 0.23470	 ego_vehicle location = 5093.450415999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.986866	frame = 23897	 simulation time = 477.920	 ego_vehicle speed = 0.07670	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.987010	frame = 23898	 simulation time = 477.940	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.987155	frame = 23899	 simulation time = 477.960	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.987300	frame = 23900	 simulation time = 477.980	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
real world time stamp: 2023-06-26 14:25:02.987445	frame = 23901	 simulation time = 478.000	 ego_vehicle speed = 0000000	 ego_vehicle location = 5093.451949999	 next light status = 3yellow
