step,action,location, speed,EV location,EV speed,d to next tl,t1,,t2,,t3,,t4,,t5,,t6,,t7,,t8,,t9,,t10,,t11,,t12,,t13,,t14,,t15,,t16,,t17,
56,0.025411,25.478188,7.905911,[25.478188,7.905911,74.521812,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
57,-0.021375,26.268353,7.901636,[26.268353,7.901636,73.731651,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
58,-0.060901,27.057297,7.889456,[27.057297,7.889456,72.942703,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
59,-0.09474,27.844349,7.870508,[27.844349,7.870508,72.155655,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
60,-0.124555,28.628908,7.845597,[28.628908,7.845597,71.371094,5,1,21,1,45,1,47,1,47,1,55,1,62,1,62,1,62,1,51,1,51,1,62,1,55,1,55,1,55,1,55,1,44, 2.0]
61,0.046709,29.414402,7.854939,[29.414402,7.854939,70.585602,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
62,-0.094436,30.198008,7.836051,[30.198008,7.836051,69.801994,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
63,-0.122702,30.979158,7.811511,[30.979158,7.811511,69.020844,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
64,-0.150611,31.757298,7.781389,[31.757298,7.781389,68.242706,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
65,-0.17879,32.53186,7.745631,[32.53186,7.745631,67.46814,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
66,-0.207521,33.302273,7.704126,[33.302273,7.704126,66.697731,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
67,-0.236717,34.067951,7.656783,[34.067951,7.656783,65.932053,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
68,-0.26595,34.828312,7.603593,[34.828312,7.603593,65.171692,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
69,-0.294547,35.582779,7.544683,[35.582779,7.544683,64.417221,4,1,21,1,45,1,47,1,47,1,55,1,61,1,61,1,61,1,51,1,51,1,61,1,55,1,55,1,55,1,55,1,44, 2.0]
70,-0.321762,36.330811,7.480331,[36.330811,7.480331,63.669189,4,1,20,1,44,1,46,1,46,1,54,1,61,1,61,1,61,1,50,1,50,1,61,1,54,1,54,1,54,1,54,1,43, 2.0]
71,-0.132415,37.076195,7.453848,[37.076195,7.453848,62.923805,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
72,-0.284113,37.815899,7.397026,[37.815899,7.397026,62.184101,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
73,-0.307064,38.549461,7.335613,[38.549461,7.335613,61.450539,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
74,-0.327573,39.27647,7.270098,[39.27647,7.270098,60.72353,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
75,-0.345745,39.996567,7.200949,[39.996567,7.200949,60.003433,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
76,-0.361903,40.709423,7.128569,[40.709423,7.128569,59.290577,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
77,-0.376566,41.414749,7.053256,[41.414749,7.053256,58.585251,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
78,-0.39037,42.112267,6.975182,[42.112267,6.975182,57.887733,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
79,-0.403917,42.801704,6.894398,[42.801704,6.894398,57.198296,3,1,20,1,44,1,46,1,46,1,54,1,60,1,60,1,60,1,50,1,50,1,60,1,54,1,54,1,54,1,54,1,43, 2.0]
80,-0.417635,43.482792,6.810871,[43.482792,6.810871,56.517208,3,1,19,1,43,1,45,1,45,1,53,1,60,1,60,1,60,1,49,1,49,1,60,1,53,1,53,1,53,1,53,1,42, 2.0]
81,-0.171026,44.160458,6.776666,[44.160458,6.776666,55.839542,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
82,-0.359772,44.830929,6.704711,[44.830929,6.704711,55.169071,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
83,-0.376266,45.493877,6.629458,[45.493877,6.629458,54.506123,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
84,-0.393131,46.14896,6.550832,[46.14896,6.550832,53.85104,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
85,-0.410106,46.795841,6.468811,[46.795841,6.468811,53.204159,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
86,-0.42691,47.434185,6.383429,[47.434185,6.383429,52.565815,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
87,-0.44328,48.06366,6.294773,[48.06366,6.294773,51.93634,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
88,-0.459006,48.683956,6.202972,[48.683956,6.202972,51.316044,2,1,19,1,43,1,45,1,45,1,53,1,59,1,59,1,59,1,49,1,49,1,59,1,53,1,53,1,53,1,53,1,42, 2.0]
